pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_mismatch,Data_source_2_mismatch
196,10308,22,13036,106140105,data_1,5.0,4.0
196,10308,22,13656,122652930,data_1,5.0,4.0
196,10308,22,14605,121250375,data_1,10.0,7.0
196,10308,23,12272,103937134,data_1,6.0,4.0
196,10308,34,11045,101003507,data_1,20.0,15.0
196,10308,34,11045,120399545,data_1,53.0,50.0
196,10308,34,12232,103391328,data_1,59.0,51.0
196,10308,34,12232,105026651,data_1,69.0,57.0
196,10308,34,12238,103479109,data_1,44.0,89.0
196,10308,34,12238,105102544,data_1,68.0,64.0
196,10308,34,12238,105321912,data_1,47.0,43.0
196,10308,34,12243,120748477,data_1,51.0,48.0
196,10308,34,12959,102699787,data_1,17.0,16.0
196,10308,34,14153,113104637,data_1,21.0,16.0
196,10308,34,14976,101237808,data_1,12.0,8.0
196,10310,23,13849,119453021,data_1,7.0,6.0
196,10310,32,13291,104125621,data_1,5.0,8.0
196,10310,34,12230,103502774,data_1,95.0,94.0
196,10310,34,12232,105026651,data_1,71.0,64.0
196,10310,34,12238,103479109,data_1,96.0,95.0
196,10319,22,11002,106148025,data_1,15.0,14.0
196,10319,22,11007,100012024,data_1,34.0,29.0
196,10319,22,11007,100012839,data_1,51.0,49.0
196,10319,22,11010,100074232,data_1,29.0,41.0
196,10319,22,11013,100012911,data_1,32.0,29.0
196,10319,22,11015,105046695,data_1,14.0,13.0
196,10319,22,11016,105336421,data_1,24.0,23.0
196,10319,22,11016,106139573,data_1,29.0,38.0
196,10319,22,11016,122297138,data_1,8.0,7.0
196,10319,22,11039,100012741,data_1,16.0,25.0
196,10319,22,11041,100016499,data_1,34.0,33.0
196,10319,22,11041,102973188,data_1,5.0,4.0
196,10319,22,11051,105000318,data_1,32.0,31.0
196,10319,22,11051,113140029,data_1,21.0,18.0
196,10319,22,12208,102411295,data_1,22.0,33.0
196,10319,22,12283,105076365,data_1,26.0,22.0
196,10319,22,13656,122652930,data_1,13.0,11.0
196,10319,22,14605,121250375,data_1,21.0,28.0
196,10319,22,14685,122078541,data_1,7.0,6.0
196,10319,22,14742,122555730,data_1,6.0,5.0
196,10319,23,12203,100073600,data_1,11.0,10.0
196,10319,23,12268,108672953,data_1,8.0,6.0
196,10319,23,14412,101860393,data_1,6.0,4.0
196,10319,23,14412,116885379,data_1,11.0,9.0
196,10319,23,14412,116885540,data_1,4.0,10.0
196,10319,23,14648,121773513,data_1,6.0,5.0
196,10319,23,15531,108988314,data_1,5.0,11.0
196,10319,32,13291,104125621,data_1,10.0,6.0
196,10319,38,11090,102387726,data_1,9.0,6.0
196,10319,38,11299,102216808,data_1,30.0,29.0
196,10319,38,11299,122189742,data_1,10.0,9.0
196,10319,38,14621,103311162,data_1,17.0,13.0
196,10320,22,11007,100012839,data_1,53.0,48.0
196,10320,22,11039,100012741,data_1,-2.0,4.0
196,10320,22,11039,102459387,data_1,20.0,19.0
196,10320,22,11051,105000318,data_1,3.0,1.0
196,10320,22,12208,102411295,data_1,2.0,5.0
196,10320,22,12283,105076365,data_1,2.0,5.0
196,10320,34,12232,105026651,data_1,31.0,4.0
196,10320,34,12238,103479109,data_1,30.0,29.0
196,10320,34,12238,105102544,data_1,48.0,47.0
196,10320,34,12238,105321912,data_1,18.0,15.0
196,10322,15,11072,102266511,data_1,2.0,5.0
196,10322,15,11072,114110940,data_1,26.0,25.0
196,10322,15,11072,116609959,data_1,6.0,5.0
196,10322,16,11134,101099653,data_1,6.0,5.0
196,10322,16,11134,101099669,data_1,13.0,12.0
196,10322,16,11134,101099695,data_1,9.0,8.0
196,10322,16,11134,119204250,data_1,12.0,11.0
196,10322,17,11064,103217263,data_1,13.0,12.0
196,10322,17,11064,111721140,data_1,13.0,14.0
196,10322,17,11064,112481674,data_1,11.0,13.0
196,10322,17,11064,113523273,data_1,8.0,6.0
196,10322,17,11064,113523354,data_1,10.0,9.0
196,10322,17,11064,114048218,data_1,2.0,5.0
196,10322,17,11064,120808305,data_1,5.0,4.0
196,10322,17,11064,122130845,data_1,3.0,2.0
196,10322,17,11064,122131108,data_1,12.0,11.0
196,10322,17,11064,122967567,data_1,6.0,9.0
196,10322,18,11740,116432299,data_1,6.0,5.0
196,10322,18,11740,119122548,data_1,7.0,6.0
196,10322,18,11740,119446475,data_1,7.0,6.0
196,10322,19,11253,101010411,data_1,15.0,14.0
196,10322,19,11253,109580297,data_1,20.0,34.0
196,10322,19,11253,114173306,data_1,18.0,28.0
196,10322,21,12151,111199967,data_1,3.0,6.0
196,10322,22,11001,100012105,data_1,10.0,21.0
196,10322,22,11002,106148025,data_1,30.0,27.0
196,10322,22,11002,109602134,data_1,30.0,41.0
196,10322,22,11003,101820058,data_1,7.0,6.0
196,10322,22,11003,102254669,data_1,15.0,13.0
196,10322,22,11007,100012024,data_1,129.0,121.0
196,10322,22,11007,100012839,data_1,490.0,497.0
196,10322,22,11007,103563943,data_1,20.0,19.0
196,10322,22,11010,100074186,data_1,25.0,23.0
196,10322,22,11010,100074232,data_1,311.0,306.0
196,10322,22,11010,102179120,data_1,8.0,7.0
196,10322,22,11010,103123382,data_1,16.0,28.0
196,10322,22,11013,100012911,data_1,111.0,126.0
196,10322,22,11015,105046695,data_1,28.0,39.0
196,10322,22,11015,105307383,data_1,25.0,36.0
196,10322,22,11015,109774121,data_1,6.0,5.0
196,10322,22,11016,105336421,data_1,48.0,38.0
196,10322,22,11016,106139573,data_1,105.0,101.0
196,10322,22,11016,122297138,data_1,14.0,13.0
196,10322,22,11039,100012741,data_1,41.0,31.0
196,10322,22,11039,102459387,data_1,132.0,130.0
196,10322,22,11041,100016499,data_1,34.0,44.0
196,10322,22,11042,100012040,data_1,24.0,23.0
196,10322,22,11051,105000318,data_1,135.0,137.0
196,10322,22,11051,113140029,data_1,64.0,59.0
196,10322,22,12182,102291257,data_1,32.0,38.0
196,10322,22,12194,103192961,data_1,26.0,24.0
196,10322,22,12198,102091851,data_1,22.0,32.0
196,10322,22,12208,102411295,data_1,32.0,36.0
196,10322,22,12210,108181585,data_1,28.0,24.0
196,10322,22,12216,106139279,data_1,85.0,114.0
196,10322,22,12219,100016321,data_1,4.0,3.0
196,10322,22,12274,113110602,data_1,16.0,15.0
196,10322,22,12274,118731435,data_1,4.0,1.0
196,10322,22,12283,105076365,data_1,66.0,67.0
196,10322,22,12283,105323745,data_1,33.0,29.0
196,10322,22,12283,122633685,data_1,21.0,20.0
196,10322,22,12285,113079594,data_1,14.0,13.0
196,10322,22,13036,106140105,data_1,14.0,17.0
196,10322,22,13656,122652930,data_1,57.0,56.0
196,10322,22,13906,112235088,data_1,6.0,5.0
196,10322,22,14742,122555730,data_1,14.0,13.0
196,10322,22,15770,118199407,data_1,32.0,33.0
196,10322,23,12203,100073600,data_1,44.0,48.0
196,10322,23,12203,120257031,data_1,27.0,32.0
196,10322,23,12268,108672953,data_1,12.0,10.0
196,10322,23,14412,101860359,data_1,8.0,6.0
196,10322,23,14412,101860393,data_1,8.0,6.0
196,10322,23,15536,101763951,data_1,5.0,4.0
196,10322,24,11045,102314141,data_1,17.0,20.0
196,10322,24,11045,102318368,data_1,6.0,4.0
196,10322,24,11070,102126310,data_1,10.0,8.0
