pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
175,1069,30,13731,109289150,data_1,5.0,5.0
175,1069,30,13731,109289150,data_2,52.12,52.12
175,1069,30,13731,109289312,data_1,13.0,13.0
175,1069,30,13731,109289312,data_2,136.72,136.72
175,1069,30,13731,109289329,data_1,13.0,13.0
175,1069,30,13731,109289329,data_2,143.33,143.33
175,1069,30,13731,109289401,data_1,6.0,6.0
175,1069,30,13731,109289401,data_2,62.29,62.29
175,1069,30,13731,109289444,data_1,12.0,12.0
175,1069,30,13731,109289444,data_2,124.01,124.01
175,1069,30,13731,109289460,data_1,9.0,9.0
175,1069,30,13731,109289460,data_2,94.57,94.57
175,1069,30,13731,109289499,data_1,14.0,14.0
175,1069,30,13731,109289499,data_2,147.74,147.74
175,1069,30,13731,109289533,data_1,4.0,4.0
175,1069,30,13731,109289533,data_2,42.33,42.33
175,1069,30,13731,109289622,data_1,17.0,17.0
175,1069,30,13731,109289622,data_2,175.76,175.76
175,1069,30,13731,109289665,data_1,16.0,16.0
175,1069,30,13731,109289665,data_2,166.67,166.67
175,1069,30,13731,109289681,data_1,8.0,8.0
175,1069,30,13731,109289681,data_2,82.61,82.61
175,1069,30,13731,109289689,data_1,18.0,18.0
175,1069,30,13731,109289689,data_2,189.21,189.21
175,1069,30,13731,109289711,data_1,5.0,5.0
175,1069,30,13731,109289711,data_2,46.77,46.77
175,1069,30,13731,109826269,data_1,3.0,3.0
175,1069,30,13731,109826269,data_2,32.77,32.77
175,1069,30,13731,109826318,data_1,22.0,22.0
175,1069,30,13731,109826318,data_2,244.11,244.11
175,1069,30,13731,112957669,data_1,3.0,3.0
175,1069,30,13731,112957669,data_2,56.63,56.63
175,1069,30,13731,112957699,data_1,5.0,5.0
175,1069,30,13731,112957699,data_2,95.05,95.05
175,1069,30,13731,112957741,data_1,3.0,3.0
175,1069,30,13731,112957741,data_2,56.94,56.94
175,1069,30,13731,112957792,data_1,3.0,3.0
175,1069,30,13731,112957792,data_2,56.47,56.47
175,1069,30,13731,112957806,data_1,8.0,8.0
175,1069,30,13731,112957806,data_2,152.94,152.94
175,1069,30,13731,112957814,data_1,6.0,6.0
175,1069,30,13731,112957814,data_2,114.69,114.69
175,1069,30,13731,112957822,data_1,1.0,1.0
175,1069,30,13731,112957822,data_2,19.12,19.12
175,1069,30,13731,112958029,data_1,4.0,4.0
175,1069,30,13731,112958029,data_2,75.73,75.73
175,1069,30,13731,112958276,data_1,6.0,6.0
175,1069,30,13731,112958276,data_2,114.04,114.04
175,1069,30,13731,113238879,data_1,6.0,6.0
175,1069,30,13731,113238879,data_2,113.83,113.83
175,1069,30,13731,115156596,data_1,12.0,12.0
175,1069,30,13731,115156596,data_2,124.72,124.72
175,1069,30,13731,115156599,data_1,15.0,15.0
175,1069,30,13731,115156599,data_2,163.45,163.45
175,1069,30,13731,115488726,data_1,18.0,18.0
175,1069,30,13731,115488726,data_2,200.33,200.33
175,1069,30,13731,119419069,data_1,11.0,11.0
175,1069,30,13731,119419069,data_2,115.72,115.72
175,1069,30,13731,120007399,data_1,17.0,17.0
175,1069,30,13731,120007399,data_2,175.01,175.01
175,1069,30,13731,120475389,data_1,5.0,5.0
175,1069,30,13731,120475389,data_2,52.23,52.23
175,1069,30,13731,120878149,data_1,11.0,11.0
175,1069,30,13731,120878149,data_2,115.94,115.94
175,1069,30,13731,121893136,data_1,5.0,5.0
175,1069,30,13731,121893136,data_2,110.72,110.72
175,1069,30,13731,122068473,data_1,33.0,33.0
175,1069,30,13731,122068473,data_2,367.3,367.3
175,1069,30,13731,122069070,data_1,20.0,20.0
175,1069,30,13731,122069070,data_2,222.1,222.1
175,1069,30,13731,122069079,data_1,12.0,12.0
175,1069,30,13731,122069079,data_2,133.28,133.28
175,1069,30,13731,122069159,data_1,31.0,31.0
175,1069,30,13731,122069159,data_2,344.23,344.23
175,1069,30,13731,122069410,data_1,213.0,213.0
175,1069,30,13731,122069410,data_2,2377.73,2377.73
175,1069,30,13731,122089535,data_1,4.0,4.0
175,1069,30,13731,122089535,data_2,56.03,56.03
175,1069,30,13731,122089586,data_1,7.0,7.0
175,1069,30,13731,122089586,data_2,94.45,94.45
175,1069,30,13731,122302115,data_1,13.0,13.0
175,1069,30,13731,122302115,data_2,136.9,136.9
175,1069,30,13731,122643206,data_1,42.0,42.0
175,1069,30,13731,122643206,data_2,469.35,469.35
175,1069,30,13731,122643230,data_1,3.0,3.0
175,1069,30,13731,122643230,data_2,33.58,33.58
175,1069,30,13731,122734198,data_1,16.0,16.0
175,1069,30,13731,122734198,data_2,178.58,178.58
175,1069,30,13731,122734209,data_1,27.0,27.0
175,1069,30,13731,122734209,data_2,299.98,299.98
175,1069,30,13731,122734228,data_1,7.0,7.0
175,1069,30,13731,122734228,data_2,77.89,77.89
175,1069,30,13731,122734299,data_1,18.0,18.0
175,1069,30,13731,122734299,data_2,199.94,199.94
175,1069,30,13731,122734945,data_1,5.0,5.0
175,1069,30,13731,122734945,data_2,55.21,55.21
175,1069,30,13731,122756868,data_1,20.0,20.0
175,1069,30,13731,122756868,data_2,225.1,225.1
175,1069,30,13731,122756906,data_1,9.0,9.0
175,1069,30,13731,122756906,data_2,100.13,100.13
175,1069,30,13731,122756922,data_1,40.0,40.0
175,1069,30,13731,122756922,data_2,440.6,440.6
175,1069,30,13731,122756939,data_1,20.0,20.0
175,1069,30,13731,122756939,data_2,223.21,223.21
175,1069,30,13731,122756973,data_1,46.0,46.0
175,1069,30,13731,122756973,data_2,514.51,514.51
175,1069,30,13731,122756981,data_1,19.0,19.0
